"LWPdate","gxDate","Pot","Species","Treat","Photo","Cond","Ci","Trmmol","VpdL","Tleaf","CO2S","TDR","Ladd","LWP.pd","LWP.md"
2012-12-19,2012-12-19,127,"cacu","wet",16.313532174,0.2568991872,268.74842348,2.8834847398,1.1887344306,25.726885986,383.41654664,34,1,-0.15,-0.5
2012-12-19,2012-12-19,174,"eute","dry",6.9840348254,0.043952675,122.1877122,0.7364530202,1.6903962388,28.131383134,390.83980716,5.86666666666667,1,-1.15,-1.55
2012-12-19,2012-12-19,175,"cacu","dry",12.50757844,0.1062038888,186.56851774,1.4279127928,1.3598868342,26.9761261,386.56158446,3.35714285714286,1,-0.95,-1.4
2012-12-19,2012-12-19,176,"pira","dry",17.53940077,0.3683825036,289.27885928,3.442509454,1.0249870202,26.610347366,378.84155884,6.35714285714286,1,-0.25,-1
2012-12-19,2012-12-19,177,"eusi","dry",12.045909264,0.1717731942,259.57189154,2.0804158108,1.2582009186,26.84401436,384.14584962,5.125,1,-0.3,-0.55
2012-12-19,2012-12-19,216,"eusi","wet",12.6129714234,0.2440769771,278.09957993,2.6974166475,1.2361149169,26.693037798,382.99144592,30,1,-0.15,-0.75
2012-12-19,2012-12-19,217,"pira","wet",11.474658668,0.1539715312,255.78460082,2.0484150696,1.3767766638,26.31028023,387.82895508,29,1,-0.15,-0.7
2012-12-19,2012-12-19,218,"cacu","wet",15.495976254,0.2138972574,258.43562994,2.7624602976,1.3411602028,26.237444308,387.056073,20,1,-0.1,-0.5
2012-12-19,2012-12-19,219,"eute","wet",15.400429676,0.1996530478,242.89930522,2.6464696014,1.3911233602,27.002235412,380.75755006,32,1,-0.1,-0.4
2012-12-19,2012-12-19,254,"cacu","dry",3.1025535186,0.021690081,158.03893414,0.363752482,1.6526043632,27.981098936,395.68374634,3.35714285714286,1,-1.7,-2.15
2012-12-19,2012-12-19,255,"eute","dry",15.82171939,0.2572203208,265.6341087,3.1395605598,1.30100793,27.930044174,378.4682068,5.86666666666667,1,-0.3,-1
2012-12-19,2012-12-19,256,"pira","dry",10.691827424,0.0953424592,193.9237742,1.3893897354,1.4755046872,27.662509158,385.59003296,6.35714285714286,1,-0.6,-1.25
2012-12-19,2012-12-19,257,"eusi","dry",9.4490682916,0.0689906998,162.80083268,1.1100202318,1.6021431536,27.877176666,392.42478026,5.125,1,-0.75,-2.75
2012-12-19,2012-12-19,304,"eusi","wet",16.561459694,0.425483544,305.55732,3.7423674992,0.9776224496,27.388821028,380.65523682,32,1,-0.1,-0.7
2012-12-19,2012-12-19,305,"cacu","wet",18.189418672,0.2638925526,259.52033528,2.9898820866,1.1892298134,27.731196594,383.12886964,13,1,-0.3,-0.65
2012-12-19,2012-12-19,306,"eute","wet",16.696159666,0.4076584546,299.91205676,3.5158470562,0.9626655678,27.290183258,378.75427246,31,1,-0.05,-0.6
2012-12-19,2012-12-19,307,"pira","wet",15.920999972,0.2372865672,274.231229,3.1091707986,1.3459355286,27.798540878,393.64244994,34,1,-0.15,-0.85
2012-12-19,2012-12-19,358,"cacu","dry",15.992387394,0.2634081466,277.59352722,2.8483604274,1.1338170548,26.512054826,386.72263184,3.35714285714286,1,-0.3,-1.15
2012-12-19,2012-12-19,359,"pira","dry",10.947713682,0.0917695766,193.88511706,1.2590259498,1.3720758648,26.849160004,394.76073608,6.35714285714286,1,-0.5,-0.8
2012-12-19,2012-12-19,360,"eusi","dry",12.703677624,0.130245003,220.83548664,1.752768973,1.3651661506,27.46123276,388.64033814,5.125,1,-0.65,-1.9
2012-12-19,2012-12-19,361,"eute","dry",6.6668920696,0.0480149874,160.11356048,0.7146178218,1.4787153282,28.08669777,392.15754394,5.86666666666667,1,-1.85,-2.4
2012-12-19,2012-12-19,412,"eusi","wet",24.740840784,0.8763541706,310.65431252,5.3136532044,0.7652019162,25.361439894,371.0208313,27,1,-0.45,-0.8
2012-12-19,2012-12-19,413,"cacu","wet",16.93181702,0.1970995824,240.72035588,2.244482765,1.1694203196,26.313053894,389.72868042,7,1,-0.15,-0.75
2012-12-19,2012-12-19,414,"eute","wet",10.610286662,0.151349036,264.06212598,1.800418011,1.230827501,25.916299438,387.83538816,31,1,-0.05,-0.75
2012-12-19,2012-12-19,415,"pira","wet",11.993187148,0.2644816174,303.73438112,2.6780438094,1.0752465872,25.338518142,387.28286744,30,1,-0.15,-0.8
2012-12-19,2012-12-19,470,"eusi","dry",18.266197088,0.3524357678,283.3187138,3.2205062536,1.0006783254,25.522728728,379.74916382,5.125,1,-0.55,-2
2012-12-19,2012-12-19,472,"eute","dry",8.954991026,0.0830561282,206.72121354,1.112552438,1.3545466984,26.170835878,390.10850218,5.86666666666667,1,-1,-1.95
